,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,y
0,39,10,2,1,356,1,0,30,8,462,2,-1,no
1,46,4,2,2,-344,0,0,8,1,142,4,-1,no
2,35,4,2,2,560,1,0,6,8,181,1,-1,no
3,27,7,1,1,0,1,0,15,8,312,6,-1,no
4,56,9,1,1,2558,0,0,19,6,288,1,-1,no
5,20,8,2,1,1191,0,0,28,11,500,2,228,yes
6,34,7,2,2,239,0,0,28,4,699,2,-1,yes
7,44,0,1,1,429,1,0,28,4,99,1,246,no
8,34,0,1,1,384,1,0,14,8,551,2,-1,no
9,46,3,1,1,1000,0,0,18,1,96,11,-1,no
10,47,10,2,0,7351,0,0,4,3,1060,3,-1,yes
11,47,5,1,1,-71,1,0,11,1,293,5,-1,no
12,40,1,1,1,563,1,0,7,8,615,1,-1,no
13,28,1,2,0,2340,1,0,19,6,399,1,-1,no
14,34,1,1,0,3,1,0,13,8,369,2,-1,no
15,40,5,1,0,630,1,0,23,5,177,2,-1,no
16,37,4,1,2,1330,1,0,29,4,41,2,261,no
17,39,1,1,1,276,0,0,9,6,334,2,-1,no
18,39,7,1,1,124,1,0,31,5,81,5,-1,no
19,65,4,1,2,1097,0,0,12,4,131,1,196,no
20,31,0,1,1,0,1,1,6,8,144,2,-1,no
21,56,5,1,0,-299,1,0,28,8,68,1,-1,no
22,36,1,0,1,221,1,0,20,8,189,1,-1,no
23,31,7,2,1,374,0,0,28,4,49,4,-1,no
24,60,5,1,2,1336,0,0,18,6,324,1,-1,no
25,60,5,1,2,3461,0,0,26,8,94,2,112,no
26,50,9,0,1,396,0,0,20,6,716,2,-1,no
27,41,1,1,0,1500,1,0,31,5,101,6,-1,no
28,30,4,2,2,3773,1,0,27,8,99,1,-1,no
29,50,0,1,1,1241,1,1,17,9,49,2,-1,no
30,32,1,2,0,36,1,0,20,9,290,2,-1,no
31,30,4,1,2,549,0,0,28,1,59,8,-1,no
32,59,5,1,1,1896,0,0,20,9,134,9,-1,no
33,54,4,1,2,1464,0,0,30,6,157,1,-1,no
34,35,0,2,1,289,1,0,28,5,48,10,-1,no
35,42,4,1,2,372,1,0,3,1,654,2,-1,no
36,30,2,1,1,2926,1,0,28,8,238,8,-1,no
37,31,4,1,1,1064,0,0,20,9,60,1,-1,no
38,35,1,1,1,2926,1,0,8,0,182,1,292,no
39,34,7,1,1,-333,1,0,11,8,218,4,285,no
40,43,4,0,2,1052,0,0,12,6,118,3,-1,no
41,45,0,1,1,335,0,0,9,5,89,3,-1,no
42,50,0,1,1,1917,1,0,14,8,200,2,-1,no
43,76,3,0,0,1411,0,0,15,0,170,3,-1,no
44,45,10,2,1,33,0,0,5,3,437,1,-1,no
45,34,0,2,0,286,1,0,13,8,329,1,-1,no
46,43,9,2,2,4243,1,0,23,8,30,10,-1,no
47,36,1,1,1,937,1,0,2,3,29,4,-1,no
48,36,1,1,0,250,1,0,8,8,149,1,-1,no
49,33,1,1,1,-406,1,1,14,5,332,2,-1,no
50,25,1,1,1,97,1,0,27,8,709,1,-1,no
51,33,1,1,0,2720,1,0,26,8,147,3,-1,no
52,39,9,1,3,0,1,0,12,8,106,3,-1,no
53,28,0,1,1,242,1,0,17,11,47,1,779,no
54,32,4,1,2,2,1,0,14,5,79,3,-1,no
55,41,1,0,1,174,1,0,14,8,367,2,297,no
56,39,10,0,1,193,1,0,15,8,73,1,-1,no
57,39,4,1,2,47,0,0,21,9,28,3,158,no
58,51,0,0,1,-338,1,0,29,5,97,2,-1,no
59,44,9,2,2,2033,0,0,27,8,158,1,-1,no
60,31,4,2,2,0,0,0,21,1,243,2,-1,no
61,35,9,1,2,14232,1,0,18,9,372,2,-1,no
62,39,9,2,1,1104,0,0,7,1,395,2,-1,no
63,55,4,1,1,566,1,0,17,0,107,1,-1,no
64,25,7,2,1,-121,1,0,6,8,343,2,-1,no
65,29,1,1,1,294,1,0,14,8,594,2,-1,no
66,36,9,2,1,380,1,0,20,8,134,1,-1,no
67,30,4,2,2,21,0,0,26,1,61,7,-1,no
68,33,4,2,2,28,1,0,21,8,237,2,-1,no
69,38,1,1,0,630,1,0,23,8,201,3,-1,no
70,25,0,2,1,18,1,0,22,5,129,1,-1,no
71,39,8,2,3,64,0,0,12,9,366,2,98,no
72,38,4,2,2,1515,1,0,18,9,134,1,110,no
73,32,4,2,2,703,1,0,17,0,200,3,-1,no
74,27,4,2,2,207,0,0,26,8,240,4,-1,no
75,30,9,2,1,3,0,0,22,1,198,2,-1,no
76,48,6,2,3,0,0,0,18,6,453,1,-1,no
77,29,6,1,2,0,1,0,7,8,253,2,302,no
78,35,4,1,2,231,0,0,26,1,130,6,-1,no
79,41,1,1,1,433,1,0,16,0,75,1,-1,no
80,35,7,1,1,44,1,0,17,0,377,2,-1,no
81,35,0,1,1,56,1,0,13,8,93,6,-1,no
82,28,1,1,1,631,1,0,13,0,151,1,-1,no
83,42,4,2,1,2535,1,0,14,8,339,1,-1,no
84,42,3,0,2,364,0,0,18,9,52,1,-1,no
85,45,9,1,1,34,0,0,27,1,96,7,-1,no
86,28,1,2,0,8263,1,0,2,6,267,1,-1,no
87,46,10,1,1,931,0,0,29,5,156,5,-1,no
88,49,9,0,1,305,0,0,24,5,367,2,-1,no
89,54,6,0,0,4382,1,0,18,8,193,4,-1,no
90,37,9,0,1,630,1,0,20,0,28,2,-1,no
91,37,0,1,1,373,0,0,29,1,98,10,-1,no
92,26,7,2,1,2047,1,0,15,8,457,1,-1,no
93,46,1,0,0,1712,0,0,19,6,110,1,-1,no
94,29,0,2,1,3432,1,0,17,0,139,2,-1,no
95,47,2,1,3,-1445,1,0,12,8,379,2,-1,no
96,27,0,2,2,3672,1,0,15,8,157,2,351,no
97,50,0,1,1,-195,0,0,22,1,119,4,-1,no
98,36,9,2,1,1044,1,0,20,1,15,19,-1,no
99,31,7,2,1,516,1,0,13,8,271,2,-1,no
100,40,3,1,1,1029,1,1,17,9,117,2,117,no
101,34,1,1,1,496,1,0,13,8,333,1,-1,no
102,43,0,1,1,2,1,1,22,5,254,1,-1,no
103,41,11,2,2,1567,0,0,1,5,291,2,-1,no
104,49,4,1,2,378,1,0,5,8,230,1,-1,no
105,46,9,1,1,49,1,0,30,8,96,3,-1,no
106,43,1,1,1,-179,1,0,30,5,335,6,-1,no
107,55,1,1,0,4103,0,0,19,9,291,1,-1,no
108,40,4,1,2,0,0,0,28,5,165,5,-1,no
109,28,7,2,1,102,0,0,15,6,64,1,89,no
110,52,0,0,2,0,1,1,30,6,122,1,64,no
111,42,10,1,0,2636,0,0,17,9,178,2,151,no
112,31,4,2,2,635,1,0,20,0,37,1,320,no
113,40,9,0,1,16,1,0,12,8,34,12,347,no
114,31,4,1,2,10,0,0,20,9,283,1,-1,no
115,26,7,1,1,549,0,0,3,5,149,1,-1,no
116,33,4,2,2,-53,0,0,29,4,617,2,-1,yes
117,49,9,0,2,1807,1,0,12,7,229,1,-1,no
118,38,4,2,2,16957,1,0,29,4,208,1,247,no
119,31,0,2,1,33,0,1,23,5,194,1,-1,no
120,54,1,1,1,1636,0,0,20,5,1008,2,-1,yes
121,31,1,1,1,99,1,0,29,4,653,3,-1,no
122,31,4,1,2,303,1,0,14,8,143,1,-1,no
123,37,4,2,2,1572,0,0,20,1,90,6,-1,no
124,53,0,0,2,493,1,1,17,9,64,3,-1,no
125,24,9,2,0,126,1,0,20,6,10,58,-1,no
126,39,9,2,1,201,0,1,6,6,148,4,-1,no
127,70,4,1,2,13297,0,0,2,3,579,2,-1,yes
128,43,1,1,3,245,1,0,16,0,829,1,-1,yes
129,56,6,1,1,1113,0,0,12,6,138,1,-1,no
130,48,9,1,2,648,0,0,14,1,85,2,-1,no
131,30,1,1,1,458,1,0,12,8,177,3,-1,no
132,53,0,0,1,2647,1,0,9,0,494,1,-1,no
133,41,1,1,1,598,1,0,12,8,69,3,364,no
134,59,4,0,2,0,1,0,31,5,52,8,-1,no
135,78,5,1,3,4807,0,0,3,3,892,2,104,yes
136,30,4,1,2,10884,0,0,4,8,333,2,-1,no
137,37,6,1,1,0,1,0,17,5,158,1,-1,no
138,45,9,2,2,302,1,0,21,9,22,2,154,no
139,29,4,2,1,966,0,0,9,5,1185,1,396,yes
140,45,10,1,1,383,0,0,23,0,293,1,-1,no
141,34,4,1,2,815,0,0,17,9,161,2,-1,no
142,52,1,1,0,238,1,0,15,8,734,5,-1,no
143,65,0,1,1,952,0,0,2,6,310,1,-1,no
144,57,2,1,3,618,1,0,8,8,10,7,-1,no
145,44,1,1,1,594,0,0,11,6,340,1,-1,no
146,42,4,1,2,344,1,1,4,6,66,2,-1,no
147,33,4,1,2,22867,1,0,10,3,165,1,92,no
148,35,10,1,1,533,1,0,6,8,802,1,-1,no
149,29,0,1,2,167,1,1,13,10,357,2,237,no
150,37,3,1,1,285,0,0,16,6,401,2,-1,no
151,35,1,1,1,503,1,1,9,8,57,2,-1,no
152,34,9,2,2,632,0,0,22,1,215,10,-1,no
153,29,6,2,2,655,0,0,23,7,273,1,-1,no
154,37,4,1,2,308,1,0,7,8,96,3,-1,no
155,27,10,1,1,1167,0,0,29,4,394,1,-1,no
156,29,7,1,1,399,0,0,18,2,454,6,199,no
157,30,1,1,0,-430,1,0,30,8,648,5,-1,no
158,43,4,1,2,5082,0,0,3,3,99,3,-1,no
159,32,4,2,2,0,0,0,19,9,57,1,-1,no
160,43,4,1,2,3518,0,0,15,6,181,2,-1,no
161,43,1,1,1,576,1,1,13,8,148,1,-1,no
162,44,9,2,1,0,0,0,20,1,156,2,-1,no
163,26,10,2,2,102,0,0,28,5,377,2,-1,no
164,39,9,2,2,47,1,0,5,8,181,1,-1,no
165,53,7,1,0,49,0,0,28,8,152,1,-1,no
166,33,7,1,1,0,1,0,26,8,192,6,-1,no
167,51,7,2,0,2499,1,0,12,8,98,5,-1,no
168,36,0,2,1,115,0,0,4,8,134,3,91,no
169,31,4,1,2,2395,0,0,27,0,218,1,-1,no
170,35,1,1,1,1257,1,0,20,0,93,3,329,no
171,32,9,1,2,903,1,0,23,6,181,1,320,no
172,54,0,0,1,-437,1,1,10,5,158,1,-1,no
173,48,4,1,2,11,1,0,21,1,102,9,-1,no
174,36,9,2,1,376,0,0,13,1,479,1,-1,no
175,38,9,1,2,-363,0,0,26,1,101,2,-1,no
176,53,10,2,1,6248,0,0,28,4,885,1,-1,yes
177,40,1,0,0,54,1,0,13,8,10,5,362,no
178,59,9,1,1,0,0,0,1,5,249,1,-1,no
179,58,9,1,2,883,0,0,1,6,373,2,-1,no
180,32,9,1,2,432,1,0,19,9,164,2,195,no
181,27,9,2,1,162,0,0,26,8,265,9,-1,no
182,32,1,1,0,2291,1,1,29,4,489,3,182,no
183,40,0,0,1,4,1,0,9,5,189,1,-1,no
184,45,1,1,1,640,1,0,5,8,214,1,1,no
185,52,4,1,0,798,1,0,30,6,123,2,-1,no
186,48,1,1,1,794,0,0,11,1,135,6,-1,no
187,72,5,1,0,0,0,0,28,6,348,6,94,no
188,35,2,2,2,3302,1,1,18,8,207,3,-1,no
189,54,1,2,1,40,1,0,18,5,172,2,-1,no
190,39,6,1,2,3201,0,0,6,6,197,2,-1,no
191,43,1,1,1,1071,1,0,19,8,411,1,-1,no
192,29,2,1,1,422,1,0,15,8,69,3,361,no
193,60,3,1,0,887,0,0,14,1,95,2,-1,no
194,22,9,2,1,356,1,0,27,8,518,2,-1,no
195,47,7,1,1,344,1,0,3,6,87,1,-1,no
196,59,4,0,1,0,0,0,22,1,125,2,-1,no
197,35,9,2,1,966,0,0,21,0,71,2,-1,no
198,49,1,1,1,1743,0,0,18,6,68,1,-1,no
199,41,6,2,2,428,1,0,11,8,106,1,-1,no
200,29,9,1,2,858,1,0,12,6,234,7,330,no
201,35,0,0,1,183,0,1,6,3,12,7,217,no
